date,wind_code,index_name,dividend_yield_ttm
2026-07-13,000001.SH,上证指数,2.365
2026-07-13,000922.CSI,中证红利,5.1325
2026-07-13,884059.WI,央企大盘指数,3.536
2026-07-13,930915.CSI,港股通高股息CNY,5.3378
2026-07-13,931233.CSI,港股通央企红利,5.657
2026-07-13,HSI.HI,恒生指数,3.2592
2026-07-14,000001.SH,上证指数,2.3428
2026-07-14,000922.CSI,中证红利,5.0868
2026-07-14,884059.WI,央企大盘指数,3.5013
2026-07-14,930915.CSI,港股通高股息CNY,5.3277
2026-07-14,931233.CSI,港股通央企红利,5.6286
2026-07-14,HSI.HI,恒生指数,3.2482
2026-07-15,000001.SH,上证指数,2.2768
2026-07-15,000922.CSI,中证红利,4.7529
2026-07-15,884059.WI,央企大盘指数,3.2604
2026-07-15,930915.CSI,港股通高股息CNY,5.2997
2026-07-15,931233.CSI,港股通央企红利,5.6137
2026-07-15,HSI.HI,恒生指数,3.2015
2026-07-16,000001.SH,上证指数,2.3571
2026-07-16,000922.CSI,中证红利,4.8739
2026-07-16,884059.WI,央企大盘指数,3.3714
2026-07-16,930915.CSI,港股通高股息CNY,5.269
2026-07-16,931233.CSI,港股通央企红利,5.5948
2026-07-16,HSI.HI,恒生指数,3.1594
2026-07-17,000001.SH,上证指数,2.4634
2026-07-17,000922.CSI,中证红利,4.8259
2026-07-17,884059.WI,央企大盘指数,3.4986
2026-07-17,930915.CSI,港股通高股息CNY,5.2569
2026-07-17,931233.CSI,港股通央企红利,5.5762
2026-07-17,HSI.HI,恒生指数,3.216
2026-07-20,000001.SH,上证指数,2.2819
2026-07-20,000922.CSI,中证红利,4.3247
2026-07-20,884059.WI,央企大盘指数,2.9894
2026-07-20,930915.CSI,港股通高股息CNY,5.1355
2026-07-20,931233.CSI,港股通央企红利,5.4189
2026-07-20,HSI.HI,恒生指数,3.1386
2026-07-21,000001.SH,上证指数,2.2441
2026-07-21,000922.CSI,中证红利,4.419
2026-07-21,884059.WI,央企大盘指数,3.0075
2026-07-21,930915.CSI,港股通高股息CNY,5.1767
2026-07-21,931233.CSI,港股通央企红利,5.4647
2026-07-21,HSI.HI,恒生指数,3.1445
2026-07-22,000001.SH,上证指数,2.2478
2026-07-22,000922.CSI,中证红利,4.3689
2026-07-22,884059.WI,央企大盘指数,2.9791
2026-07-22,930915.CSI,港股通高股息CNY,5.1389
2026-07-22,931233.CSI,港股通央企红利,5.4456
2026-07-22,HSI.HI,恒生指数,3.1878
2026-07-23,000001.SH,上证指数,2.238
2026-07-23,000922.CSI,中证红利,4.3432
2026-07-23,884059.WI,央企大盘指数,2.9453
2026-07-23,930915.CSI,港股通高股息CNY,5.0543
2026-07-23,931233.CSI,港股通央企红利,5.3592
2026-07-23,HSI.HI,恒生指数,3.159
2026-07-24,000001.SH,上证指数,2.2872
2026-07-24,000922.CSI,中证红利,4.3705
2026-07-24,884059.WI,央企大盘指数,2.9682
2026-07-24,930915.CSI,港股通高股息CNY,5.0504
2026-07-24,931233.CSI,港股通央企红利,5.3581
2026-07-24,HSI.HI,恒生指数,3.1931
2026-07-27,000001.SH,上证指数,2.227
2026-07-27,000922.CSI,中证红利,4.3128
2026-07-27,884059.WI,央企大盘指数,2.9478
2026-07-27,930915.CSI,港股通高股息CNY,5.0067
2026-07-27,931233.CSI,港股通央企红利,5.3154
2026-07-27,HSI.HI,恒生指数,3.159
2026-07-28,000001.SH,上证指数,2.2694
2026-07-28,000922.CSI,中证红利,4.2612
2026-07-28,884059.WI,央企大盘指数,2.9546
2026-07-28,930915.CSI,港股通高股息CNY,4.981
2026-07-28,931233.CSI,港股通央企红利,5.2678
2026-07-28,HSI.HI,恒生指数,3.1432
2026-07-29,000001.SH,上证指数,2.2473
2026-07-29,000922.CSI,中证红利,4.2481
2026-07-29,884059.WI,央企大盘指数,2.9545
2026-07-29,930915.CSI,港股通高股息CNY,4.9143
2026-07-29,931233.CSI,港股通央企红利,5.202
2026-07-29,HSI.HI,恒生指数,3.0793
2026-07-30,000001.SH,上证指数,2.2843
2026-07-30,000922.CSI,中证红利,4.2061
2026-07-30,884059.WI,央企大盘指数,2.9264
2026-07-30,930915.CSI,港股通高股息CNY,4.8661
2026-07-30,931233.CSI,港股通央企红利,5.1316
2026-07-30,HSI.HI,恒生指数,3.0693
