date,index_name,pe_ttm
2020-01-23,上证指数,14.41
2020-02-28,上证指数,14.07
2020-03-31,上证指数,13.43
2020-04-30,上证指数,14.09
2020-05-29,上证指数,13.1
2020-06-30,上证指数,13.89
2020-07-31,上证指数,15.54
2020-08-31,上证指数,15.99
2020-09-30,上证指数,15.28
2020-10-30,上证指数,15.37
2020-11-30,上证指数,16.27
2020-12-31,上证指数,16.76
2021-01-29,上证指数,16.82
2021-02-26,上证指数,16.94
2021-03-31,上证指数,16.63
2021-04-30,上证指数,16.74
2021-05-31,上证指数,17.29
2021-06-30,上证指数,17.39
2021-07-30,上证指数,16.6
2021-08-31,上证指数,17.37
2021-09-30,上证指数,17.47
2021-10-29,上证指数,17.37
2021-11-30,上证指数,17.63
2021-12-31,上证指数,18.02
2022-01-28,上证指数,16.63
2022-02-28,上证指数,17.16
2022-03-31,上证指数,16.13
2022-04-29,上证指数,15.14
2022-05-31,上证指数,12.83
2022-06-30,上证指数,13.69
2022-07-29,上证指数,13.22
2022-08-31,上证指数,13.11
2022-09-30,上证指数,12.45
2022-10-31,上证指数,11.96
2022-11-30,上证指数,12.99
2022-12-30,上证指数,12.78
2023-01-31,上证指数,13.51
2023-02-28,上证指数,13.63
2023-03-31,上证指数,13.64
2023-04-28,上证指数,13.92
2023-05-31,上证指数,12.73
2023-06-30,上证指数,12.76
2023-07-31,上证指数,13.09
2023-08-31,上证指数,12.49
2023-09-28,上证指数,12.46
2023-10-31,上证指数,12.06
2023-11-30,上证指数,12.11
2023-12-29,上证指数,11.92
2024-01-31,上证指数,11.2
2024-02-29,上证指数,12.12
2024-03-29,上证指数,12.22
2024-04-30,上证指数,12.5
2024-05-30,上证指数,13.21
2024-05-31,上证指数,13.18
2024-06-28,上证指数,12.69
2024-07-31,上证指数,12.55
2024-08-30,上证指数,12.16
2024-09-30,上证指数,14.24
2024-10-31,上证指数,13.9
2024-11-29,上证指数,14.08
2024-12-31,上证指数,14.23
2025-01-24,上证指数,13.83
2025-02-28,上证指数,14.07
2025-03-31,上证指数,14.19
2025-04-30,上证指数,13.93
2025-05-30,上证指数,13.72
2025-06-30,上证指数,14.13
2025-07-31,上证指数,14.66
2025-08-29,上证指数,15.72
2025-09-30,上证指数,15.85
2025-10-31,上证指数,16.19
2025-11-28,上证指数,15.95
2025-12-31,上证指数,16.3
2026-01-30,上证指数,16.9
2026-02-27,上证指数,17.09
2026-03-31,上证指数,16.1
2026-04-30,上证指数,16.97
2026-05-29,上证指数,16.68
2026-06-30,上证指数,16.79
2026-07-01,上证指数,17.1983
2026-07-02,上证指数,16.8788
2026-07-03,上证指数,16.941
2026-07-06,上证指数,16.9769
2026-07-07,上证指数,16.8044
2026-07-08,上证指数,16.7951
2026-07-09,上证指数,17.0486
2026-07-10,上证指数,16.8997
2026-07-13,上证指数,16.632
2026-07-14,上证指数,16.8371
2026-07-15,上证指数,16.8047
2026-07-16,上证指数,16.5254
2026-07-17,上证指数,16.0948
2026-07-20,上证指数,16.3177
2026-07-21,上证指数,16.5656
2026-07-22,上证指数,16.594
2026-07-23,上证指数,16.617
2026-07-24,上证指数,16.3643
2026-07-27,上证指数,16.5111
2026-07-28,上证指数,16.5111
